Date,Description,Province,City,Industry,Sub Industry,Company Name,Company Ownership,Action Type,Number Of Participants,Employees Demands,Response to Collective Actions
2021-08-15,"Workers of an education company protest against wage arrears after bankruptcy, report to police in Chongqing",Chongqing,Chongqing,Education,"Continuing education, tutoring",,Private Enterprise,Protest,101-1000,Wage Arrears/Relocation or Closure,Police
2021-08-15,"Workers protest against wage arrears of an IT company after layoff in Wuhan, Hubei",Hubei,Wuhan,Services,Information technology,,Private Enterprise,Protest,1-100,Wage Arrears/Layoffs,Negotiations with Management/Violence against workers
2021-08-14,"Workers protest against wage arrears of an internet commercial company, apply for arbitration in Qingdao, Shandong",Shandong,Qingdao,Services,Information technology,,Private Enterprise,Protest,1-100,Wage Arrears,Government Intervention/Negotiations with Management
2021-08-13,"Employees protest against wage arrears and layoffs of an online education company in Changsha, Hunan",Hunan,Changsha,Education,"Continuing education, tutoring",,Private Enterprise,Protest,101-1000,Wage Arrears/Relocation or Closure/Layoffs,Negotiations with Management
2021-08-13,"Teachers protest against wage and social insurances arrears of Wall Street English, apply for arbitration in Beijing",Beijing,Beijing,Education,"Continuing education, tutoring",,Joint Venture,Protest,101-1000,Wage Arrears/Relocation or Closure/Social Insurance,Government Intervention
2021-08-12,Workers protest against wage arrears of Zhangmen education in Shanghai,Shanghai,Shanghai,Education,"Continuing education, tutoring",,Private Enterprise,Protest,1-100,Wage Arrears,
2021-08-12,"Taxi drivers go on strike against shared electric bikes in Cangzhou, Hebei",Hebei,Cangzhou,Transport&Logistics,Taxi,,Private Enterprise,Strike/Protest,1001-10000,Management Supervision/Other,Government Intervention/Negotiations with Management
2021-08-11,"About 1,000 employees protest against wage and social insurance arrears of an tutoring company, apply for arbitration in Beijing",Beijing,Beijing,Education,"Continuing education, tutoring",,Private Enterprise,Protest,101-1000,Wage Arrears/Relocation or Closure/Social Insurance,Government Intervention
2021-08-11,"Workers protest against wage arrears of Baoneng, apply for arbitration in Xian, Shaanxi",Shanxi,"Xi,an",Manufacturing,Automotive,,Private Enterprise,Protest,101-1000,Wage Arrears/Social Insurance,Government Intervention/Negotiations with Management
2021-08-11,"Taxi drivers protest against illegal fees, report to government in Zhenyuan, gansu",Gansu,Qingyang,Transport&Logistics,Taxi,,Private Enterprise,Protest,1-100,Other,Government Intervention/Negotiations with Management
2021-08-10,"Didi drivers protest to demand for termination of contracts in Suzhou, Jiangsu",Jiangsu,Suzhou,Transport&Logistics,Taxi,,Private Enterprise,Protest,101-1000,Management Supervision/Other,Government Intervention/Negotiations with Management/Police
2021-08-10,"Employees of an English school protest against wage arrears, apply for arbitration in Shenzhen, Guangdong",Guangdong,Shenzhen,Education,"Continuing education, tutoring",,Private Enterprise,Strike/Protest,1-100,Wage Arrears,Negotiations with Management
2021-08-09,"Workers seek help of wage arrears of a construction project in Zhenjiang, Jiangsu",Jiangsu,Zhenjiang,Construction,Residential Property,,Private Enterprise,Protest,1-100,Wage Arrears,Negotiations with Management
2021-08-06,"App drivers protest for help after leased vehicles were taken away after disputes in Dongguan, Guangdong",Guangdong,Dongguan,Transport&Logistics,Haulage,,Private Enterprise,Protest,1-100,Management Supervision,Negotiations with Management
2021-08-06,"Taxi drivers protest against policy of forced change to electric vehicles in Tangshan, Hebei",Hebei,Tangshan,Transport&Logistics,Taxi,,Public Institution,Strike/Sit-in/Protest,101-1000,Management Supervision/Other,Negotiations with Management
2021-08-05,"Delivery workers protest against wage arrears of Baishi in Xian, Shaanxi",Shanxi,"Xi,an",Transport&Logistics,Courier,,Private Enterprise,Strike/Protest,1-100,Wage Arrears,Negotiations with Management
2021-08-05,"Delivery workers of ZTO go on strike in Changxing, Zhejiang",Zhejiang,Huzhou,Transport&Logistics,Courier,,Private Enterprise,Strike/Protest,1-100,Wage Arrears,
2021-08-04,"Workers protest against wage arrears of a gym, apply for arbitration in Guangzhou, Guangdong",Guangdong,Guangzhou,Services,"Sports and leisure including spa, nail salon etc",,Private Enterprise,Protest,1-100,Wage Arrears,Government Intervention/Negotiations with Management
2021-08-04,"Taxi drivers protest against wage arrears of shared electric bikes in Shenyang, Liaoning",Liaoning,Shenyang,Transport&Logistics,Taxi,,Private Enterprise,Protest,101-1000,Other,Government Intervention/Negotiations with Management
2021-08-04,"Delivery workers of STO go on strike against wage arrears in Taizhou, Zhejiang",Zhejiang,Taizhou,Transport&Logistics,Courier,,Private Enterprise,Strike/Protest,1-100,Wage Arrears,
2021-08-03,"Delivery workers of Yunda go on strike in Wuxi, Guangdong",Jiangsu,Wuxi,Transport&Logistics,Courier,,Private Enterprise,Strike/Protest,101-1000,Wage Arrears,
2021-08-03,"Delivery workers of Yunda go on strike in Wuhu, Anhui",Anhui,Wuhu,Transport&Logistics,Courier,,Private Enterprise,Strike/Protest,1-100,Wage Arrears,
2021-08-03,Delivery workers of STO go on strike in Beijing,Beijing,Beijing,Transport&Logistics,Courier,,Private Enterprise,Strike/Protest,101-1000,Wage Arrears,
2021-08-03,"Delivery workers of Yunda go on strike in Nanjing, Jiangsu",Jiangsu,Nanjing,Transport&Logistics,Courier,,Private Enterprise,Strike/Protest,101-1000,Wage Arrears,
2021-08-03,"Workers protest against wage arrears of an education company, apply for arbitration in Yinchuan, Ningxia",Ningxia,Yinchuan,Education,"Continuing education, tutoring",,Private Enterprise,Protest,1-100,Wage Arrears,Government Intervention/Negotiations with Management
2021-08-03,"Employees protest against wage and insurances arrears of an education company, apply for arbitration in Shenzhen, Guangdong",Guangdong,Shenzhen,Education,"Continuing education, tutoring",,Private Enterprise,Protest,1-100,Wage Arrears/Social Insurance,Government Intervention
2021-08-03,"Employees protest against wage arrears of an education company, receive interview in Fuyang, Anhui",Anhui,Fuyang,Education,"Continuing education, tutoring",,Private Enterprise,Protest,1-100,Wage Arrears,Negotiations with Management
2021-08-03,"Delivery workers of Baishi go on strike against wage arrears in Shenzhen, Guangdong",Guangdong,Shenzhen,Transport&Logistics,Courier,,Private Enterprise,Strike/Protest,101-1000,Wage Arrears,
2021-08-03,"Delivery workers of Baishi go on strike against wage arrears in Chengdu, Sichuan",Sichuan,Chengdu,Transport&Logistics,Courier,,Private Enterprise,Strike/Protest,101-1000,Wage Arrears,
2021-08-02,"Delivery workers of ZTO go on strike in Guangzhou, Guangdong",Guangdong,Guangzhou,Transport&Logistics,Courier,,Private Enterprise,Strike/Protest,1-100,Wage Arrears,
2021-08-02,"Workers of Yurun food protest against wage arrears in Taizhou, Jiangsu",Jiangsu,Taizhou,Manufacturing,Agricultural and Food Processing,,Private Enterprise,Protest,1-100,Wage Arrears,Police
2021-08-02,"Truck drivers protest against wage arrears of a logistic company in Zhengzhou, Henan",Henan,Zhengzhou,Transport&Logistics,Haulage,,Private Enterprise,Protest,1-100,Wage Arrears,
2021-08-02,Delivery workers of Yunda go on strikes in Chongqing,Chongqing,Chongqing,Transport&Logistics,Courier,,Private Enterprise,Strike/Protest,1-100,Wage Arrears,
2021-08-01,"Delivery workers of Cainiao go on strike in Nantong, Jiangsu",江苏省,南通市,Transport&Logistics,Courier,,Private Enterprise,Strike/Protest,1-100,,
2021-08-01,"Delivery workers of Yunda go on strike in Linyi, Shandong",Shandong,Linyi,Transport&Logistics,Courier,,Private Enterprise,Strike/Protest,1-100,Wage Arrears,
2021-07-31,"Workers protest against wage and insurances in arrears of a shopping mall, reach media, in Zhucheng, Shandong",Shandong,Weifang,Services,Retail & wholesale,,Private Enterprise,Protest,1-100,Wage Arrears/Social Insurance,Negotiations with Management
2021-07-31,"Workers protest against wage arrears after resignation, apply for arbitration in Guangzhou, Guangdong",Guangdong,Guangzhou,Services,,,Private Enterprise,Protest,1-100,Wage Arrears,Government Intervention/Negotiations with Management
2021-07-31,"Workers protest against wage arrears of an education company, apply for arbitration in Beijing",Beijing,Beijing,Education,"Continuing education, tutoring",,Private Enterprise,Protest,101-1000,Wage Arrears,Government Intervention/Negotiations with Management
2021-07-30,"Taxi drivers protest against being disqualified after demand for property rights in Beihai, Guangxi",Guangxi,Beihai,Transport&Logistics,Taxi,,Public Institution,Protest,101-1000,Management Supervision/Other,
2021-07-30,"Delivery workers of Yunda go on strike in Hangzhou, Zhejiang",Zhejiang,Hangzhou,Transport&Logistics,Courier,,Private Enterprise,Strike/Protest,1-100,Wage Arrears,
2021-07-30,"Delivery workers of Yunda go on strike in Guangzhou, Guangdong",Guangdong,Guangzhou,Transport&Logistics,Courier,,Private Enterprise,Strike/Protest,1-100,Wage Arrears,
2021-07-30,"Delivery workers of YTO go on strike in Nanchang, Jiangxi",Jiangxi,Nanchang,Transport&Logistics,Courier,,Private Enterprise,Strike/Protest,101-1000,Wage Arrears,
2021-07-29,"Teachers of a chain tutoring company protest against wage arrears after closure by filing lawsuits, in Beijing",Beijing,Beijing,Education,"Continuing education, tutoring",,Private Enterprise,Protest,101-1000,Wage Arrears/Relocation or Closure,Government Intervention/Negotiations with Management
2021-07-29,"Workers protest against wage arrears of a paper factory, seek help of labor bureau in Xian, Shaanxi",Shanxi,"Xi,an",Manufacturing,,,Private Enterprise,Protest,1-100,Wage Arrears,Government Intervention/Negotiations with Management
2021-07-28,"Workers protest against wage arrears of a project by Evergrande in Xian, Shaanxi",Shanxi,"Xi,an",Construction,Commercial Property,,SOE,Protest,1-100,Wage Arrears,Negotiations with Management
2021-07-28,Workers protest against wage arrears of a construction project in Chongqing,Chongqing,Chongqing,Construction,Residential Property,,Unknown,Protest,1-100,Wage Arrears,Negotiations with Management
2021-07-27,Workers protest against wage arrears of a construction company in Beijing,Beijing,Beijing,Construction,Infrastructure,,SOE,Protest,1-100,Wage Arrears,Negotiations with Management
2021-07-27,"Drivers of T3 app go on strike against new recruitment policy in Chengdu, Sichuan",四川省,成都市,Transport&Logistics,Taxi,,SOE,Sit-in/Protest,101-1000,Management Supervision,Negotiations with Management
2021-07-27,"Taxi drivers protest against subsidies in arrears by filing lawsuits in Lingshui, Hainan",Hainan,,Transport&Logistics,Taxi,,Private Enterprise,Protest/Other,1-100,Compensation,Government Intervention/Negotiations with Management
2021-07-27,"Delivery workers of Yunda go on strike in Bijie, Guizhou",Guizhou,bijieshi,Transport&Logistics,Courier,,Private Enterprise,Strike/Protest,101-1000,Wage Arrears,
2021-07-26,"Workers protest against wage arrears of a construction site, mediated by police in Pucheng, Shaanxi",Shanxi,Weinan,Construction,Commercial Property,,Unknown,Protest,1-100,Wage Arrears,Government Intervention/Negotiations with Management/Police
2021-07-25,Delivery workers protest against wage arrears of a local branch after closure in Shanghai,Shanghai,Shanghai,Transport&Logistics,Courier,,Private Enterprise,Protest,1-100,Wage Arrears,Negotiations with Management
2021-07-25,"Workers protest against wage arrears of a gym in Nanchang, Jiangxi",Jiangxi,Nanchang,Services,"Sports and leisure including spa, nail salon etc",,Private Enterprise,Protest,1-100,Wage Arrears/Relocation or Closure,Negotiations with Management
2021-07-25,"Delivery workers of STO go on strike in Pingdingshan, Henan",河南省,平顶山市,Transport&Logistics,Courier,,Private Enterprise,Strike/Protest,101-1000,Wage Arrears,
2021-07-24,"Workers protest against wage arrears of a construction site in Taicang, Jiangsu",Jiangsu,Suzhou,Construction,Residential Property,,SOE,Protest,1-100,Wage Arrears,Negotiations with Management
2021-07-24,"Food delivery workers of Eleme go on strike in Pingxiang, Jiangxi",Jiangxi,Pingxiang,Transport&Logistics,Food delivery,,Private Enterprise,Strike/Protest,101-1000,,
2021-07-23,"Workers protest against wage arrears of an electronic factory in Shenzhen, Guangdong",Guangdong,Shenzhen,Manufacturing,Electronics,,Private Enterprise,Protest,101-1000,Wage Arrears,Negotiations with Management
2021-07-22,"Delivery workers of Debang go on strike in Guangzhou, Guangdong",Guangdong,Guangzhou,Transport&Logistics,Courier,,Private Enterprise,Strike/Protest,1-100,Wage Arrears,
2021-07-22,"Workers protest against wage arrears of a sports company, filed a case at the court in Tianjin",Tianjin,Tianjing,Services,,,Private Enterprise,Protest,101-1000,Wage Arrears,Government Intervention
2021-07-22,Delivery workers of Baishi go on strikes against wage arrears in Shanghai,上海市,上海市,Transport&Logistics,Courier,,Private Enterprise,Strike/Protest,101-1000,Wage Arrears,
2021-07-21,"Workers protest against wage arrears of a construction project in Yangzhou, Jiangsu",Jiangsu,Yangzhou,Construction,Residential Property,,Private Enterprise,Protest,1-100,Wage Arrears,Negotiations with Management
2021-07-21,"Workers protest against wage arrears of a construction project in Baoying, Jiangsu",Jiangsu,Yangzhou,Construction,Residential Property,,Private Enterprise,Protest,1-100,Wage Arrears,Negotiations with Management
2021-07-21,"Delivery workers of Baishi go on strike in Chengdu, Sichuan",Sichuan,Chengdu,Transport&Logistics,Courier,,Private Enterprise,Strike/Protest,101-1000,,
2021-07-21,"Workers protest against wage arrears of a China Construction Group in Changzhi, Shanxi",Shanxi,Changzhi,Construction,Commercial Property,,SOE,Protest,1-100,Wage Arrears,Negotiations with Management
2021-07-21,"Workers protest against wage arrears of a hotel, apply for arbitration in Guangzhou, Guangdong",Guangdong,Guangzhou,Services,Hotels & catering,,Private Enterprise,Protest,1-100,Wage Arrears,Government Intervention
2021-07-20,"Workers protest against wage arrears of a subway project by China Construction Group in Xian, Shaanxi",Shanxi,"Xi,an",Construction,Infrastructure,,SOE,Protest,1-100,Wage Arrears,Negotiations with Management
2021-07-20,"Workers protest against wage arrears of a construction project, vehicle got damaged by the managers, in Daqing, Heilongjiang",Heilongjiang,Daqing,Construction,,,SOE,Protest,1-100,Wage Arrears,Negotiations with Management/Violence against workers
2021-07-20,"Workers protest against wage arrears of a real estate company, apply for arbitration in Ningbo, Zhejiang",Zhejiang,Ningbo,Services,Property management & real estate,,Private Enterprise,Protest,101-1000,Wage Arrears,Government Intervention/Negotiations with Management
2021-07-20,"Workers go on strike against wage arrears of a civil project in Shantou, Guangdong",Guangdong,Shantou,Construction,Infrastructure,,SOE,Strike/Protest,1-100,Wage Arrears,
2021-07-20,"Retired teachers protest to demand changes in paygrade and compensation policy in Harbin, Heilongjiang",Heilongjiang,Harbin,Education,Primary and secondary school,,Public Institution,Protest/Block Road,101-1000,Pay Increase/Compensation/Management Supervision/Other,Negotiations with Management
2021-07-20,"Workers protest against wage arrears of a machine company, intervened by the court in Shanghai",Shanghai,Shanghai,Manufacturing,Machinery,,Private Enterprise,Protest,101-1000,Wage Arrears,Government Intervention/Negotiations with Management
2021-07-20,"Workers protest against wage arrears of a real estate company, apply for arbitration in Kunming, Yunnan",Yunnan,Kunming,Services,Property management & real estate,,Private Enterprise,Protest,1-100,Wage Arrears,Government Intervention/Negotiations with Management
2021-07-20,"Workers protest against wage arrears of a construction site in Xian, Shaanxi",Shanxi,"Xi,an",Construction,Commercial Property,,SOE,Protest,1-100,Wage Arrears,Negotiations with Management
2021-07-20,"Workers protest against wage arrears of a construction project, turned away by the government in Jimsar, Xinjiang",Xinjiang,Changji,Construction,Commercial Property,,Private Enterprise,Protest,1-100,Wage Arrears,
2021-07-20,"Workers protest against wage arrears of a fake company, turned down by other parties after the manager got arrested in Xiangcheng, Henan",Henan,Zhoukou,Construction,Infrastructure,,Private Enterprise,Protest,1-100,Wage Arrears,
2021-07-19,"Workers protest against wage and social insurances arrears, apply for arbitration of an English school in Zhengzhou, Henan",Henan,Zhengzhou,Education,"Continuing education, tutoring",,Private Enterprise,Protest,1-100,Wage Arrears/Social Insurance,
2021-07-19,Workers protest against wage arrears of an online school in Beijing,Beijing,Beijing,Education,"Continuing education, tutoring",,Private Enterprise,Protest,1-100,Wage Arrears,Negotiations with Management
2021-07-19,"Taxi drivers protest against illegal contacts, demand for property rights in Wenan, Hebei",Hebei,Langfang,Transport&Logistics,Taxi,,Private Enterprise,Protest,1-100,Management Supervision/Other,Government Intervention/Negotiations with Management
2021-07-19,"Workers protest against wage arrears of a gym chain after closure in Guangzhou, Guangdong",Guangdong,Guangzhou,Services,"Sports and leisure including spa, nail salon etc",,Private Enterprise,Protest,101-1000,Wage Arrears/Relocation or Closure,Negotiations with Management
2021-07-19,"Workers protest against wage and social security in arrears of a design company in Zhengzhou, Henan",Henan,Zhengzhou,Services,Media,,Private Enterprise,Protest,1-100,Wage Arrears/Social Insurance,Negotiations with Management
2021-07-19,"Workers protest against wage arrears of an English school in Hangzhou, Zhejiang",Zhejiang,Hangzhou,Education,"Continuing education, tutoring",,Private Enterprise,Protest,1-100,Wage Arrears,Negotiations with Management
2021-07-19,Delivery workers of Meituan go on strike in Shanghai,上海市,上海市,Transport&Logistics,Food delivery,,Joint Venture,Strike/Protest,1-100,Pay Increase,
2021-07-19,"Employees protest against wage arrears of an education company in Hefei, Anhui",安徽省,合肥市,Education,"Continuing education, tutoring",,Private Enterprise,Protest,1-100,Wage Arrears/Layoffs,Negotiations with Management
2021-07-19,Delivery workers of Jitu go on strike against wage arrears in Tianjin,Tianjin,Tianjing,Transport&Logistics,Courier,,Private Enterprise,Strike/Protest,101-1000,Wage Arrears,
2021-07-19,"Teachers protest against wage arrears and forced layoff of an education company in Chengdu, Sichuan",Sichuan,Chengdu,Education,"Continuing education, tutoring",,Private Enterprise,Protest,1-100,Wage Arrears/Layoffs,Government Intervention/Negotiations with Management
2021-07-18,"Workers protest against wage arrears of a restaurant in Shangrao, Jiangxi",Jiangxi,Shangrao,Services,Hotels & catering,,Private Enterprise,Protest,1-100,Wage Arrears,
2021-07-18,"Delivery workers of Yunda go on strike against wage arrears in Ningxiang, Hunan",Hunan,Changsha,Transport&Logistics,Courier,,Private Enterprise,Strike/Protest,101-1000,Wage Arrears,
2021-07-17,"Taxi drivers protest to demand for property rights and excessive fees at the transportation bureau in Beihai, Guangxi",Guangxi,Beihai,Transport&Logistics,Taxi,,Private Enterprise,Protest,1-100,Management Supervision/Other,Government Intervention/Negotiations with Management
2021-07-17,"Workers protest against wage arrears of a construction company in Zhijin, Guizhou",Guizhou,bijieshi,Construction,,,Private Enterprise,Protest,1-100,Wage Arrears,Negotiations with Management
2021-07-17,"Delivery workers of STO go on strike in Sihui, Guangdong",广东省,肇庆市,Transport&Logistics,Courier,,Private Enterprise,Strike/Protest,1-100,Wage Arrears,
2021-07-16,Players apply for arbitration of wage arrears of a soccer club in Tianjin,Tianjin,Tianjing,Other,,,SOE,Protest,1-100,Wage Arrears,Negotiations with Management
2021-07-16,"Workers protest against wage arrears of an auto retailer, apply for arbitration in Laixi, Shandong",Shandong,Qingdao,Services,Retail & wholesale,,Private Enterprise,Protest,1-100,Wage Arrears,Government Intervention/Negotiations with Management
2021-07-16,"Workers protest against wage arrears of a highway project by an SOE, beaten, in Yan'an, Shaanxi",Shanxi,"Yan,an",Construction,Infrastructure,,SOE,Protest,1-100,Wage Arrears,Negotiations with Management/Violence against workers
2021-07-16,"Workers protest against wage arrears of contractors who work at local police bureau, reports to government in Xiayi, Henan",Henan,Shangqiu,Construction,,,Private Enterprise,Protest,1-100,Wage Arrears,
2021-07-16,"Workers protest against wage arrears of a construction site in Qi, Henan",河南省,开封市,Construction,,,Private Enterprise,Protest,1-100,Wage Arrears,
2021-07-15,"Workers protest against wage arrears of a construction project in Yulin, Shaanxi",Shanxi,Yulin,Construction,Interior Decoration,,SOE,Protest,1-100,Wage Arrears,Government Intervention/Negotiations with Management
2021-07-15,"Workers protest against wage arrears of an internet retailer after bankruptcy in Suzhou, Jiangsu",Jiangsu,Suzhou,Services,Retail & wholesale,,Private Enterprise,Protest,101-1000,Wage Arrears/Relocation or Closure,Negotiations with Management
2021-07-15,"Workers protest against wage arrears of a construction project in Yanji, Jilin",Jilin,Yanbian,Construction,,,Private Enterprise,Protest,1-100,Wage Arrears,Government Intervention/Negotiations with Management
2021-07-14,"Workers protest against wage arrears of a factory, mediated by the court, in Nantong, Jiangsu",Jiangsu,Nantong,Manufacturing,,,Private Enterprise,Protest,1-100,Wage Arrears,Government Intervention/Negotiations with Management
2021-07-14,"Workers protest against wage arrears of an auto company in Shenzhen, Guangdong",Guangdong,Shenzhen,Manufacturing,Automotive,,Private Enterprise,Protest,1-100,Wage Arrears,
2021-07-14,"Workers of an estate management company go on strike in Suzhou, Jiangsu",Jiangsu,Suzhou,Services,Property management & real estate,,Private Enterprise,Strike/Protest,1-100,Wage Arrears,
2021-07-13,"Workers protest against wage arrears of a cake company in Meizhou, Guangdong",Guangdong,Meizhou,Services,Hotels & catering,,Private Enterprise,Protest,101-1000,Wage Arrears/Relocation or Closure,Negotiations with Management
2021-07-13,"Taxi drivers protest against forced change of radios, mediated by the transport bureau in Xinxiang, Henan",Henan,Xinxiang,Transport&Logistics,Taxi,,Private Enterprise,Protest,1-100,Management Supervision/Other,Government Intervention/Negotiations with Management
2021-07-13,"Delivery workers of STO go on strike in Shaoxing, Zhejiang",Zhejiang,Shaoxing,Transport&Logistics,Courier,,Private Enterprise,Strike,1-100,,
2021-07-13,"Employees protest against wage arrears of a hospital in Yulin, Shaanxi",Shanxi,Yulin,Services,Medical facilities,,Private Enterprise,Protest,1-100,Wage Arrears,Negotiations with Management
2021-07-13,"Workers protest against wage arrears of a construction site, mediated by police in Meishan, Sichuan",四川省,眉山市,Construction,,,Private Enterprise,Protest,1-100,Wage Arrears,Government Intervention/Negotiations with Management
2021-07-12,Workers protest against wage arrears in Beijing,Beijing,Beijing,Construction,,,Unknown,Protest,1-100,Wage Arrears,Negotiations with Management
2021-07-12,"Workers protest against wage arrears of a petrochemical company after bankruptcy in Dalian, Liaoning",Liaoning,Dalian,Manufacturing,Petrochemical Products,,Private Enterprise,Protest,101-1000,Wage Arrears/Relocation or Closure,Government Intervention
2021-07-12,"Workers protest against wage arrears of a pipeline project by Petro China, mediated by the government in Jingyan, Sichuan",Sichuan,Leshan,Construction,Infrastructure,,SOE,Protest,1-100,Wage Arrears,Government Intervention/Negotiations with Management
2021-07-12,"Workers protest against wage arrears of a heating engineering company in Zhengyang, Henan",河南省,驻马店市,Construction,Infrastructure,,Private Enterprise,Protest,1-100,Wage Arrears,Government Intervention/Negotiations with Management
2021-07-12,"Delivery workers of STO go on strike in Weifang, Shandong",Shandong,Weifang,Transport&Logistics,Courier,,Private Enterprise,Strike/Protest,1-100,Wage Arrears,
2021-07-11,"Delivery workers of YTO go on strike in Yancheng, Jiangsu",Jiangsu,Yancheng,Transport&Logistics,Courier,,Private Enterprise,Strike/Protest,101-1000,,
2021-07-11,"Delivery workers of Baishi go on strike in Zhengzhou, Henan",Henan,Zhengzhou,Transport&Logistics,Courier,,Private Enterprise,Strike/Protest,101-1000,,
2021-07-11,"Delivery workers of Yunda go on strike in Xian, Shaanxi",Shanxi,"Xi,an",Transport&Logistics,Courier,,Private Enterprise,Strike/Protest,1-100,Wage Arrears,
2021-07-10,"Delivery workers of STO go on strike in Ningbo, Zhejiang",浙江省,宁波市,Transport&Logistics,Courier,,Private Enterprise,Strike/Protest,1-100,,
2021-07-09,"Taxi drivers protest against policy of electric vehicle, accuse government of breaking legal procedures in Xia, Shanxi",Shanxi,Yuncheng,Transport&Logistics,Taxi,,Public Institution,Protest,101-1000,Management Supervision/Other,
2021-07-09,Delivery workers of Meituan go on strike in Beijing,Beijing,Beijing,Transport&Logistics,Food delivery,,Joint Venture,Strike/Protest,1-100,Pay Increase,
2021-07-09,"Food delivery workers go on strike in Ningbo, Zhejiang",Zhejiang,Ningbo,Transport&Logistics,Courier,,Joint Venture,Strike/Protest,1-100,Wage Arrears,
2021-07-08,"Delivery workers of STO go on strike against wage arrears in Gaomi, Shandong",Shandong,Weifang,Transport&Logistics,Courier,,Private Enterprise,Strike/Protest,101-1000,Wage Arrears,
